# invariantly_inevitably_eat
-- res/dining/dining_2.aut
naive,598419,544424,455174,485965,361015,450711,347628,297648,330670,467669,321299,312820,301217,271766,278459,892052,326654,306573,337364,360122,474363,348521,309250,271766,245883,342719,336472,213307,187871,265071,271765,270427,204382,7252433,359677,225355,199919,170913,180731,157972,177607,164666,243652,126734,99067,172252,161988,195457,161542,310589,142800,137891,142354,219108,133428,431968,1681465,174483,131197,267303,488643,134767,614485,327547,1119638,2680170,141907,115579,112009,116024,285153,111116,118702,265964,191441,178500,115132,143246,122272,114686,104869,90142,87911,162881,135660,202597,153956,133874,94159,126289,326208,124504,109777,198134,108885,128073,7017707,144584,92820,116471
EmersonAndLei,2693557,172698,196350,147262,166450,184746,187424,218662,261948,100405,139230,142799,93266,125396,224017,109777,363247,154848,142800,132089,182962,208398,128966,190102,154848,6733893,120487,153064,114240,7322049,106653,154402,125396,184747,289169,105761,113793,85680,78986,101745,144584,104869,104869,88357,136999,273996,177607,1830066,186086,97728,130751,105761,3975630,140568,116025,81218,86572,604220,267303,152617,153956,105314,99514,6948538,214646,87018,100406,81664,72292,73185,2799318,137445,80771,74524,72738,77201,71846,310589,68722,67384,70507,75416,75862,71846,75863,76754,75416,211076,2996113,75416,100853,111116,106207,94605,130751,86572,70061,74077,675621,75863
Smart,38886556,282921,489981,585033,227140,241867,546655,560935,328885,237851,378419,405193,253916,258824,234726,197242,218215,238743,216877,277120,186978,595742,344058,203043,251684,261055,214200,167790,247221,211522,243651,290955,216877,184301,197689,166451,325762,626087,191441,207505,169574,152171,3348203,186086,225356,155294,153064,146370,2492745,13969368,177607,24082703,201258,139675,167790,149047,168682,144584,180285,124949,173591,174483,159757,440001,160203,295417,159757,211076,137891,295417,3747150,161095,167790,136999,161989,167789,176714,142799,141015,169575,137444,165558,291847,162435,302557,219109,158418,165112,170467,276674,229372,153956,145924,143246,145031,3566419,329331,144584,167789,142800
-- res/dining/dining_3.aut
naive,301664,100406,101298,114240,99514,95051,130304,103976,85234,116025,217769,7153812,225801,111562,87018,85680,353429,121379,129859,146370,144138,77201,66045,826899,81663,69169,88357,7887892,203936,66938,61583,59351,78539,74078,63367,66937,69615,83002,75416,64260,133875,85234,77201,317283,73185,71846,113793,78093,75862,67830,71399,66045,65152,73185,69615,70508,74523,3736440,89250,104868,62921,213307,62475,60243,59798,72292,62474,62921,107546,72292,65152,91927,81217,70293538,78094,66045,64260,91927,68722,63368,61582,95943,91927,164219,111562,55335,45518,78539,45071,46410,47749,1645765,132090,122718,61136,87018,56674,64260,46856,47749
EmersonAndLei,221786,100406,211076,74077,62921,62921,81664,66937,62474,62029,91481,66937,56227,218662,58459,91481,60244,67383,59797,68276,64259,73185,63367,60690,116025,59797,64260,1093755,88803,27636181,133428,83002,58013,60690,55335,58459,55781,56674,57120,54443,54889,55782,53550,56227,1411485,72292,57120,174037,95051,65152,58905,66937,62921,57566,57120,73185,176715,58905,212414,64706,58905,58904,250345,62475,63368,61582,64706,104868,51319,49534,70954,53103,49980,103083,51765,58459,56674,48194,105315,47748,44625,41948,47302,41501,39716,43286,75862,43287,41502,45963,40163,20377500,75416,53103,49980,47749,61137,43286,40162,44178
Smart,277567,197688,180284,129412,167343,693917,356999,5463869,187871,178946,162434,4062201,186978,131197,110669,118702,105315,104422,116470,115132,112455,111562,105761,108439,109777,103976,101744,190549,118256,144138,137445,99068,92373,83448,112454,140568,186978,267749,310143,109331,96390,94605,107992,101745,109777,122718,99067,101298,94605,91035,131197,152171,97728,4229098,1184790,137445,93712,95051,120487,128966,128520,62921,78540,70061,100852,84787,3823458,120487,87019,81663,78093,78540,112009,101745,108438,116471,87911,112008,85234,101298,86572,120487,102191,87465,106208,90588,88804,88358,84787,88804,83449,285153,118702,91035,90588,100406,116917,91035,2219641,160203
-- res/dining/dining_4.aut
naive,306572,62475,70953,59351,56228,57120,54443,57120,61136,76308,68276,58012,62921,59351,456512,91927,57566,57566,54443,56674,55782,58458,70507,61136,51319,50426,65152,53550,50426,206613,53104,55781,55334,51318,49087,60243,51765,50426,49087,48641,56227,49533,49980,55335,52211,51764,53550,84341,33022,28560,27667,27221,26775,31684,31237,102637,35700,30791,29006,28560,28560,28114,28114,28114,53550,49980,53550,152617,62028,51765,48641,50872,49088,50873,60690,50873,57566,49980,51765,60243,50872,49979,48641,47748,48641,47749,48641,46409,48194,48641,46410,46410,47749,51765,46856,47749,48195,49533,54443,51319
EmersonAndLei,188764,80771,55781,51764,55781,81664,64260,59351,57120,57119,57120,54442,61137,53996,53996,190548,44625,30345,51318,54442,54889,57119,54888,52658,49980,52211,52211,53103,51765,52211,53550,54443,53549,53104,51764,54889,52211,88357,51765,52658,49087,50426,57120,54442,52657,71846,53996,62475,52657,52211,53549,53104,52658,54889,48641,69615,50872,53996,48641,53550,49534,49980,251238,63814,166897,69169,55781,55781,54889,50426,51765,53996,53104,49533,47748,53550,50426,251685,51765,53103,51318,49088,60244,50427,49087,48641,45964,75862,53996,50426,47748,189209,62921,50873,49980,50872,48641,50426,47303,49088
Smart,417689,107100,91035,90142,110669,134767,103530,99067,110223,107992,92374,244990,128074,124950,124504,103083,99068,106207,119594,102191,89696,89250,93266,96390,110223,948725,127181,94159,97729,94605,87019,90588,100406,90588,91035,84787,89250,88357,83895,97282,90142,86573,84341,91035,91928,87911,80771,318175,103084,87911,86126,311481,92374,90589,145923,204828,123164,144139,117809,94158,184301,170467,264625,178500,118256,98174,115578,90142,85680,280245,99513,93712,97283,238743,93713,90142,86126,91481,84341,90142,91927,86126,85680,82556,83002,82110,75862,86573,86126,123165,131643,110670,95944,164666,90143,86572,78986,1386941,144139,82556
-- res/dining/dining_5.aut
naive,1682358,790752,561381,378866,876433,626087,382435,360569,322637,310143,307466,458744,321300,324869,316837,292739,298094,301664,337364,351198,492212,473470,360123,459636,315944,323084,315944,302110,304788,300325,303896,13665920,533267,498460,357891,589494,1174526,557811,551117,478379,396269,455620,406087,509169,527465,311035,653308,274443,348520,891605,337364,399393,407426,450712,311482,377081,8809841,307912,4409830,518541,437324,311928,424829,332901,183408,125396,307912,202597,140568,4991292,131198,387344,186978,316836,516309,206167,1100896,177161,145477,115132,121379,115133,110670,120933,111116,116024,111563,111116,105761,1033065,196349,141015,111563,118256,116470,120041,119595,116918,107100,186086
EmersonAndLei,1752864,373956,287831,315944,282475,282922,506939,482841,294078,282029,287384,275335,33356196,580123,376634,428845,299432,391360,536391,405640,323084,291400,420366,350752,415904,295863,342719,298094,290508,355661,361015,439108,1350795,828238,310589,373510,396269,284707,394930,314160,616269,306126,728725,632781,433307,4132263,1178989,572984,505154,350305,12586890,294078,1107143,131197,101298,94605,120487,149047,93712,98621,88357,90589,94605,96836,122272,92373,88358,86572,88803,166005,125396,104868,111116,142799,107099,129858,358784,5835594,146370,109331,116025,103529,100406,93713,145477,102637,101298,103530,98621,97282,96836,104868,88804,95051,104869,96836,96390,96836,98175,95943
Smart,1847915,320407,213753,162434,157080,935337,195903,348073,203489,194118,160649,212414,171806,197688,161096,164220,157972,211076,153956,163327,145030,141015,145030,130751,133428,142799,130305,126734,138337,244991,134767,139230,140568,138337,136998,600651,166005,144138,140122,132982,131197,139676,237850,177160,136998,158865,141461,144138,154402,458297,166005,313713,171359,157526,358783,159311,159757,158865,152617,151278,144138,370386,173591,160203,162881,160203,235173,166451,198134,200366,183855,163774,348967,6131903,199474,158418,4017577,253915,172698,153509,1293228,184747,148601,199027,175822,161096,149493,142353,290062,151278,141461,472131,162434,150386,165558,137444,140122,262394,279352,166897
-- res/dining/dining_6.aut
naive,535053,415904,495783,458297,443571,453835,537730,23797104,700164,447588,398947,415011,395376,403408,399839,412334,400285,585924,7026632,595742,423490,442232,566735,414119,615823,399393,393145,395376,392698,669373,42768920,450265,446695,348521,330224,297201,303003,277567,279798,276228,273997,275782,273996,277120,273104,288723,292293,296756,290508,282476,293632,309250,349412,338257,303449,279798,283367,283814,284707,283368,292293,535499,328885,328439,290508,302110,359676,337364,466330,320852,324422,315944,322638,309251,365478,330224,318176,331563,302556,310143,296309,294078,297648,296755,301664,310589,313266,298540,307466,292739,299433,308358,304342,308804,320406,311036,291400,300325,302557,315051
EmersonAndLei,443125,304341,290062,1027711,329331,316837,449818,364585,453834,320853,420812,311481,423044,294524,402963,290954,436431,3742242,305234,343165,342719,622964,273104,257931,250792,252130,314159,303896,356999,314605,1332944,474363,312820,464099,290062,297201,268196,280690,279352,446695,276674,281136,29127990,297648,1474406,1596232,26879789,315052,402963,331116,286492,309251,307465,307911,1031727,304342,299879,300772,291401,3910924,334240,294971,284707,280690,272212,29327909,311481,293631,291401,715783,501137,340488,334686,319514,295863,422597,1310187,356107,369048,376188,327547,323977,291401,274443,266410,297648,342272,328439,1150875,500691,315498,317729,504707,408318,448480,499352,337364,325761,288277,342273
Smart,599758,1815786,391360,721138,429738,473916,368155,357446,663126,374403,534160,361016,2226781,391807,618947,441787,575661,407871,460529,703288,682761,422597,548886,366816,5051536,481503,603775,801016,490873,520326,381989,564059,1078583,761300,1237002,1021464,207506,155295,152171,3260292,203489,178053,156633,150386,167789,148601,151278,165558,321746,538622,176715,311036,195903,398054,216430,163327,152171,149940,147262,154848,145924,157079,148601,145923,150386,145924,1514121,175376,170913,159311,159311,173144,153956,149047,199919,147708,139676,142799,325315,170467,141907,402070,173591,140123,388683,189210,149047,146370,132982,157079,155741,175375,151724,155295,144139,150832,141461,153063,253469,257931
-- res/dining/dining_7.aut
naive,2321832,2069701,2727918,3464229,3451733,3459319,3761876,3897982,3547677,4192061,3636034,8361361,3463336,3349988,3846218,4040336,3622647,3327676,3856035,3374979,3139805,3260739,3056357,3369623,3449056,3352220,3457089,3305364,3581592,2950150,3584269,3876116,2175909,3809625,3732424,10292280,3324553,3210759,3507961,3990802,4287111,3327230,3843986,3096966,3548570,3600781,3815872,5269750,4309423,3502159,3384796,4012222,4655267,3673073,3600781,4119768,4719973,3869869,3414695,3237980,4671331,3647190,19294008,1033512,1030835,1062965,1036189,1031280,1025033,1124547,1250389,1121870,1053147,1067873,1012984,1373553,1081707,1061179,19824597,1783210,1188807,984871,1029942,1114282,1071890,1059840,1002721,1189699,1071444,1021017,1080815,1016108,1105804,1184344,1214243,1070104,1068765,1041098,1066088,1033512
