# invariantly_plato_starves
-- res/dining/dining_2.aut
naive,22312,11156,10264,9372,9371,9818,10264,9818,9371,9371,9371,9371,18743,8033,8479,8479,8478,8033,8033,18296,15173,10263,16065,14726,16957,16065,16511,10263,24544,19635,17403,17404,18297,43732,21420,16065,14726,17404,21866,16957,17404,29452,15173,16065,13834,15172,16512,10264,9818,8479,9818,14726,8925,8479,8925,71400,24543,10264,52657,10710,9818,9371,9817,9371,20081,16065,16958,16511,16065,15618,16065,15619,16512,24097,23651,19189,17404,19189,19189,17404,21420,9818,28560,9817,9817,8479,10710,9372,8925,8478,8478,8033,11602,8033,9371,15173,8925,8478,8033,8479
EmersonAndLei,13834,9371,22759,14280,9817,8925,8925,8925,8925,9371,8925,8925,8925,14726,10264,8925,19635,8925,9371,8925,8479,21420,9371,9817,10263,46410,24990,12941,12495,12048,11602,12049,20081,12495,12941,22759,11602,10264,11156,17404,10264,10264,10710,10710,15619,10710,10263,10264,10264,10264,10264,10263,16065,17404,15619,21420,16511,15619,24544,26329,9817,8478,8032,8479,17850,13387,14726,11157,14279,8925,8032,16065,15172,52211,16065,16957,16065,17404,12941,16511,9817,9371,8032,16511,7140,7140,6694,18296,11156,8479,8479,14280,7587,7140,8479,8033,8032,8478,8478,8033
Smart,49534,29006,20528,18742,18743,35700,21420,18743,18742,21420,18742,19189,22312,20081,19189,22313,19188,19189,53104,32576,29898,16958,16958,36592,55334,39716,25437,20973,18743,23205,37931,21420,19635,19635,24544,19635,19189,19189,20081,23651,21866,18742,19635,24990,31684,32576,21420,41055,20527,19188,18743,33915,27667,20081,19189,24990,22313,19188,18743,19189,19189,25436,24990,21866,19189,30791,25883,19635,19189,63813,43286,35254,39269,20974,19189,16958,16511,61582,39716,26328,19635,93712,50426,78540,39270,53550,32576,21420,19188,27221,35700,36146,29006,39270,44179,33468,37485,29006,33023,55781
-- res/dining/dining_3.aut
naive,33915,27221,20974,17850,16957,21420,11156,11156,10710,17404,19189,11602,11156,16957,21420,20974,18742,20081,20081,19635,18296,11156,10710,12941,19635,20528,19189,20081,19635,20082,20974,21866,19635,45964,35700,19189,13388,11156,19635,20974,19189,11603,11156,20081,9818,11603,11156,11157,10710,10710,14727,9817,10710,18743,16957,11603,10710,11156,11156,19635,20973,19635,12495,11156,11156,10710,10710,10710,11156,10710,11156,10710,10710,11156,15172,11156,10710,10710,11157,18296,18296,20974,41501,22759,21420,20974,20527,20082,20082,19635,20081,20081,46410,12495,11156,11157,11156,11156,10710,11156
EmersonAndLei,17850,14280,11157,9817,11156,10264,9818,9371,9371,9372,14726,9817,10264,9371,9817,16065,10264,10263,9818,44179,17850,10264,10710,9817,9371,10710,10264,9371,25436,17403,11603,10264,9371,9817,9371,9817,9371,10264,10264,9371,8925,9372,9371,9371,8925,9372,9817,9818,9371,9371,9371,16957,20973,16511,16065,15618,15619,12941,9371,19635,21866,20082,16511,21420,15618,9371,9371,9371,14726,8925,9371,9371,8925,9371,9371,8925,9371,9371,8925,9372,9371,9371,9371,9817,9818,9371,9372,8925,9372,8925,9371,9371,19188,10264,10264,10710,10264,9817,9818,9371
Smart,48194,23651,22313,20973,20974,20528,20528,24544,20527,34807,38377,24990,20527,25436,19635,19188,19189,20081,20974,19635,19635,19635,20081,19635,20081,20081,32130,52658,38377,35254,33022,50427,29899,29898,72739,50873,41055,38823,38824,38377,39270,38378,46410,38823,38377,38378,38378,61582,55781,39717,37931,49980,37485,34807,38824,35254,37485,37485,35700,35253,43287,34362,73631,42393,37039,37932,48195,43732,45071,38378,35700,30791,33022,33023,34807,45517,35700,48642,33915,31683,34808,32577,33022,473917,46856,38377,34807,34361,32576,33022,33915,36146,33023,108438,39716,34361,33914,58459,39269,34361
-- res/dining/dining_4.aut
naive,53550,37039,37039,62921,33915,31238,31238,31237,31684,30344,30345,30345,30791,31683,39716,30791,30345,31683,30345,30791,30791,30345,30345,30345,30791,30345,32130,30791,30791,30791,31684,30791,33469,58013,31238,30792,29899,29899,29006,29452,29899,37039,30345,29899,29899,29899,26329,28560,27221,27221,26774,40163,29452,77648,38377,27221,31684,30792,29899,29007,30345,29899,39270,40608,48195,29452,30345,30345,29898,29453,30345,29898,29899,30791,29452,30345,29898,29898,29898,29452,29452,29899,29899,29006,29452,29899,29453,30345,31237,32576,31238,30791,29453,29006,30345,29006,29899,29453,29899,29452
EmersonAndLei,40609,28114,24544,24544,31237,23651,24097,23651,23651,24098,23205,24097,24098,24990,26775,23652,23651,24098,24098,23651,23651,22759,22758,23205,23651,24544,23205,23651,44179,24544,24097,24097,24097,21420,14280,13388,13834,13388,13387,13388,13387,17404,25436,23652,24097,23651,22313,23205,22759,22759,23205,23205,23205,24544,23652,24544,23651,24098,24990,34361,28114,24544,24544,23651,23205,24097,23651,23651,23651,24097,32576,25882,24544,25436,24097,30791,24544,24097,24544,24097,53996,28560,43286,25436,25436,33023,24098,23652,22759,21866,21866,21420,37039,21420,20973,21420,20527,20974,37038,26329
