# invariantly_possibly_eat
-- res/dining/dining_2.aut
naive,467222,17404,15619,11156,9818,16511,16957,10264,9817,12495,20081,17404,10710,9818,9817,14280,24543,9818,15173,11156,9817,9817,10710,10264,9371,10264,9371,15619,18743,18296,10264,9817,9818,9371,9818,9371,9818,9817,9818,9371,9818,9818,9818,9371,9818,9817,10264,17850,19635,18296,10264,9817,9818,9817,10264,9371,9817,9818,9817,9371,9817,9817,9818,9372,9817,9817,9371,9818,13388,21420,11157,9817,10264,10263,9818,9817,9371,10264,9818,9817,9818,9817,9371,9817,9372,9371,9817,9817,9818,9371,18743,16958,10264,9371,10264,9817,9371,9371,10263,9818
EmersonAndLei,1471728,29007,18743,14280,13833,13387,13388,13833,13833,14280,13387,13834,13834,13387,13834,13834,13834,8479,8479,8479,8479,8925,8478,8478,8479,8032,8479,41501,15173,14727,13833,13834,13834,13833,13834,13834,14279,13834,13834,13834,13834,12941,12941,12942,12941,12941,12941,12941,12941,13387,12942,12494,13387,12941,12495,12941,12941,14280,21420,9817,8479,11602,12495,10264,12495,56227,10264,8478,39270,14726,13388,13387,12942,12941,12941,12941,13388,12941,12941,13387,12941,12495,22758,11157,11156,11156,11156,11156,11156,11156,11156,10710,10710,11156,42394,15173,14280,14279,13834,13834
Smart,1476637,76755,32130,28113,33022,27667,27221,27221,31238,52658,26328,24544,24097,23205,23205,23205,23205,23651,22759,23651,22759,22758,107546,26775,21420,20081,20082,19635,19635,20082,20081,20081,19635,20081,20081,20527,20081,29898,22312,22312,20082,16511,16511,16065,16511,16957,16512,16958,16065,16511,16957,16957,16065,16511,16512,16958,16512,16958,36592,30791,17404,16958,16957,16511,16511,16958,16957,16958,16957,16957,16958,16958,16512,16958,16958,16957,20528,31238,18743,17404,16958,16511,16958,16957,16511,16511,16511,16511,16511,16958,16511,16957,16512,16511,19188,31684,18742,17404,16512,16511
-- res/dining/dining_3.aut
naive,35254,20528,19189,27222,16511,15173,22312,60243,37932,17404,27667,25882,12495,11157,11602,11602,11156,11156,10710,11156,10710,10710,10710,10710,10710,10710,11156,11156,10710,18296,20527,21420,11602,10710,11156,11156,9818,9818,10263,9817,9817,9817,9371,9817,9371,9371,9817,9817,9372,9372,9817,11156,17850,12049,10710,9817,9817,9371,9817,9371,9372,9817,9817,9818,9372,9817,9818,9817,9817,9371,9817,9372,9817,9817,16958,123611,11156,9818,10263,9817,9817,9817,9818,9817,9818,9372,9371,9817,9818,9817,9817,17404,17404,10710,9817,9371,10264,9817,10264,9818
EmersonAndLei,30792,10710,9818,9371,9371,9818,9371,9818,9817,9817,9818,9371,10710,9817,9371,9818,9371,9372,37931,11156,10263,10264,20973,9817,9817,9818,9371,9372,9818,9817,9818,9371,9817,12495,12495,12495,12941,12495,12941,12941,12942,12941,12495,12494,22313,14727,13833,12941,12941,21866,12049,12495,12495,12049,12049,12049,12049,12049,12495,12049,12048,12495,13387,14280,12495,12048,12049,12048,12495,12495,12049,9817,11156,10264,9371,24544,9817,9818,9817,9372,9817,9818,9371,9818,20974,19189,12941,10710,9818,10264,9817,9818,9817,9818,11156,9818,9817,9372,9817,9817
Smart,42839,18742,17850,17404,16957,33915,29453,17850,17403,17403,17403,17404,27221,16958,16957,17404,16957,16958,17404,16957,17404,16511,28114,47749,33469,27221,69168,41501,20974,18297,17850,26329,28113,97728,17404,16512,30345,41055,37485,21420,17404,16957,16958,16958,29899,34361,19635,17850,18296,20081,37039,35253,43286,33469,118255,42839,35254,34361,68723,30792,18743,17850,16958,16958,36146,39717,29007,18743,16957,56227,25882,17850,16958,16957,16957,58012,20527,32577,18742,17404,17404,17403,42393,28560,21866,34807,28114,29452,21866,21420,20974,20974,20974,43287,24544,26775,48641,23651,20974,20528
-- res/dining/dining_4.aut
naive,38824,15172,14280,16511,15618,13834,40163,23204,16957,16511,15618,15619,35254,15172,13833,14726,14279,14280,21420,24990,16065,29452,16958,15619,15619,14280,15172,15619,27668,27221,14726,13834,15173,15619,40609,29898,20081,27667,28560,16511,16065,16511,15172,15619,15172,25436,36592,41055,29453,28560,34361,40609,42394,29006,30791,41948,51764,31684,15172,14280,24990,39270,39270,29452,16065,15619,15618,15173,15619,15172,24097,13388,15619,15619,15619,24989,21420,19635,27221,20081,20081,28114,27667,13833,14280,13387,29006,19635,31237,16065,46409,29006,17404,16065,15618,15173,15172,15172,15619,15172
EmersonAndLei,28114,17404,16065,24098,16511,27221,35254,26329,15173,23205,26775,26775,15172,16065,25882,16957,30792,39716,31683,26329,25882,15172,27667,16511,15618,15619,16065,23651,27667,26329,17403,16065,15618,37485,25883,17404,28560,33022,127627,89250,45964,29006,34361,29898,29006,28114,28114,29006,31237,30791,33468,18296,13834,13834,13387,13834,13387,13387,13387,27667,25882,17404,24098,13387,13834,16065,30345,28114,24544,28114,15618,16065,15619,15618,15618,15173,15619,15173,15173,15173,15172,15173,23205,26775,26329,27221,25882,58459,34807,17850,16065,27668,27667,28114,26329,25436,16065,24990,29898,26775
Smart,71846,38377,22758,21420,20974,20081,32576,21420,20081,31683,61136,37484,33915,34361,34361,36593,35700,32130,19189,17850,20973,44625,19635,16957,28113,20081,19635,19635,20527,17404,17403,18742,20974,19635,20081,19635,20081,17850,17404,47303,32576,35254,20528,18296,703734,48195,23651,21420,20081,43732,24990,24098,24097,23651,34361,57120,47302,28114,24543,23651,23651,35699,61136,38824,29006,35254,45071,31237,26775,28114,26775,26329,26329,23652,50873,36593,25882,24990,41947,43286,28114,61136,41055,33022,24544,41055,26328,35254,27221,23652,23652,23205,23205,46856,35700,24990,38377,24543,24990,24544
-- res/dining/dining_5.aut
naive,70507,65598,62029,72739,62921,66491,52211,31684,72292,40609,35253,29452,29452,29006,45072,60243,41501,29453,44625,36146,40162,32130,32130,32130,32129,32130,32130,39270,32130,32130,31684,32130,32130,32130,32130,32130,31237,43732,28114,27667,45518,32130,32130,65153,34808,91481,33915,30791,66044,58905,35253,47303,34361,33915,34361,33915,33915,33022,43732,34808,35700,42394,39270,28113,39269,32576,74077,39270,35254,33915,33915,49087,53997,53996,55781,64260,51319,33468,41055,32577,32130,40609,28559,66491,33915,32129,68723,116917,66045,70954,65152,124503,64259,65598,77201,51765,50872,109778,70061,67383
EmersonAndLei,79879,70508,70954,50873,32130,30791,29006,42394,76309,34361,30345,67830,34807,47303,34361,33469,29452,34807,54888,59798,60690,60244,60689,61582,62029,65152,69615,83003,59798,30791,29452,69614,41055,34807,33468,32576,35254,32577,32576,79433,108438,156187,117809,81217,41054,35700,35254,33023,33023,32576,32576,32130,32576,31684,32130,32576,48195,59798,34361,32576,32577,32130,32576,32130,31684,32576,32130,32130,31684,37039,59798,33915,32130,32130,32577,66937,33469,33469,32130,32576,31684,32577,37931,61136,78986,33915,33022,32576,32130,32130,32576,32576,32130,32130,32576,71846,58012,57120,62921,56674
