# plato_infinitely_often_can_eat
-- res/dining/dining_2.aut
naive,19635,8925,13387,13387,13834,12048,13834,12941,14726,13388,13834,12048,13833,14280,13834,13834,13388,13834,13387,14726,13834,19189,13388,11156,13834,13833,14726,12941,13834,15173,15172,12941,12495,13388,13387,14280,14280,17850,14726,13388,12941,13387,12941,12942,37039,12941,7586,6693,6694,6693,7140,6694,6694,8479,6693,6694,7140,6694,6694,12049,12495,12495,7140,6694,6694,6694,6694,6693,6694,7586,6694,6694,6694,6247,6694,8925,19189,12942,11603,11602,11602,11602,11156,10710,10709,11156,10710,12495,11156,10263,10710,10263,10263,12495,12495,12495,12049,11603,12049,11156
EmersonAndLei,23205,11156,11156,11156,10710,10710,9818,10710,12495,13834,18742,8478,6694,6693,6693,7140,6694,6694,6694,6694,6694,6694,6694,7140,6248,6694,6694,6693,6248,6694,6694,6694,6694,6694,6694,6693,6693,6248,6693,6694,6693,6693,11602,17850,11156,12049,11602,11156,10710,10264,10264,11156,10264,11603,10710,10263,10263,10710,13834,10710,11156,11157,11602,11156,11156,11602,11156,11156,10710,11156,11602,11602,11156,11603,11603,11157,25883,13387,10264,9817,10710,10710,10264,9817,10264,10263,10710,12049,14280,12942,12495,12941,12049,11603,8925,6694,6694,7140,6694,7586
Smart,151278,22313,18296,17404,16512,16512,16511,16957,16511,20974,49533,37485,33915,31684,29899,29452,28559,29006,35700,26774,18297,16064,16511,16512,16512,37485,29898,29007,30345,28560,29006,34361,29898,29453,29007,33023,30345,28114,28560,29007,28113,27221,27668,28114,53550,35253,29899,29006,29898,28560,28560,31237,24990,106207,32576,27221,28114,29452,29452,28114,28560,29006,28560,46856,29006,28113,27667,23651,24544,48641,22759,34807,29899,17850,18296,18296,16065,15618,16957,16957,16511,16065,16512,16957,16957,16511,16065,18743,17850,17404,16958,16511,16511,24989,30791,28560,18296,16065,16065,16511
-- res/dining/dining_3.aut
naive,17404,9372,7140,7586,6693,7140,6694,6694,6694,6694,11602,13833,12941,12495,6693,7140,6694,6694,6694,6694,6694,6694,7140,8479,6694,12941,13833,7586,6694,7140,6693,6694,7140,7140,6694,6694,6694,7140,6694,6694,6694,7140,12495,13387,7586,7140,7140,7140,7140,7140,7140,10263,6693,6694,6694,6694,6693,7140,12048,12941,7586,6694,6694,6694,6694,6693,7140,7140,7140,6694,7140,7140,7140,7140,6693,12495,12942,12495,7586,7140,6693,6694,6694,7586,6694,6694,6694,7140,6694,6693,6693,6694,10710,12495,9818,7140,6693,6694,6693,6694
EmersonAndLei,16958,8032,7140,7140,7140,6693,6694,6693,7140,10710,15173,13387,8032,7140,6694,6694,10264,7140,6694,7140,6693,6694,7140,7140,6693,6694,12941,13834,8032,7140,7140,7140,6694,7140,7140,6694,7140,6694,7140,7140,6694,7140,7139,11602,8479,7586,7586,7140,7140,7140,7140,10264,7139,7140,7140,11156,14280,8479,7140,7140,6693,6694,28114,12941,12495,12941,12495,12495,12941,12941,12495,14280,13388,14280,15172,14280,13387,13834,13834,13833,12941,13833,12495,13834,12941,12495,16065,12941,12941,12942,13387,12941,15173,13388,13387,13388,13387,12495,12941,12495
Smart,62475,33022,45071,33915,33915,33022,33469,32130,61136,33022,32130,32576,31684,51765,27221,26775,25882,25436,24543,24543,29452,35253,19189,15619,14280,14726,14726,42839,29453,19189,16958,16957,14726,14280,13834,14280,16511,26775,18296,16512,16511,16065,16511,25883,16065,16065,16065,16511,15619,16511,15619,16511,15619,15619,20081,28560,26329,15173,14727,19188,14726,14280,14280,14280,13834,13834,15172,13834,14280,14280,14280,14280,14280,14280,14280,18742,27221,16065,14726,14280,14280,14280,13834,13834,14280,13834,16511,14280,14280,14280,13834,14280,14280,14280,14279,13834,14280,14280,31684,45963
-- res/dining/dining_4.aut
naive,20081,9371,8479,8033,8479,8479,11156,8925,8478,8925,8479,8479,8478,8925,8033,45518,15619,12941,13387,12941,13387,12941,12495,12941,12048,11602,12049,12049,12495,12495,7586,7586,7586,7587,8032,7586,7587,29453,16065,8925,7586,7587,7587,8033,8033,8032,7586,7586,11602,12495,12049,12495,13388,12941,15618,13834,13833,13388,8033,7586,7587,8032,7586,7586,8032,7586,7586,8033,7586,7587,7587,35700,8925,8033,8033,10710,16511,13834,14280,12049,7586,7586,7586,8032,7586,7587,8033,7586,7587,8033,7587,9371,7586,8032,8032,7586,8032,7586,12495,14727
EmersonAndLei,29006,9371,8032,7586,8033,7586,7586,8033,8033,7586,7586,7586,7586,7587,8033,8032,7586,9371,8033,7586,9371,16065,14280,14280,8478,8479,8032,7586,7586,29899,8479,8033,7586,7586,7140,8033,8033,7586,8479,7586,7586,7586,7586,13834,14726,13387,13834,8033,8033,7586,7586,7586,8032,8032,7586,7586,7586,7587,7586,7586,7586,7586,7586,7140,7586,12049,15619,13834,14280,8033,7587,8032,8032,7587,7586,8033,7586,7586,7586,10710,7587,7586,7586,7587,7586,7587,7586,8033,8925,16065,13834,14726,9817,8032,8925,8032,7586,7586,7587,8033
