file,algorithm,nu X. ((<ask>X || <i>X) || <wisdom>X) || <playing>X),mu X. nu Y. (<playing>true || (mu Z.(X || <wisdom>Z) && <i> Y)),[ask]<wisdom>true,nu Y. (<ask>Y && mu X. (<i>X || <wisdom>true)),nu X . [i] false,nu X. mu Y. ( (<playing>true && [i]X) || ([playing]false && [i]Y) )
res\demanding\demanding_children_5.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_5.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_5.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_6.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_6.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_6.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_2.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_2.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_2.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_4.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_4.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_4.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_3.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_3.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_3.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_10.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_10.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_10.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_9.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_9.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_9.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_8.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_8.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_8.aut,Smart,True,False,True,False,False,False
res\demanding\demanding_children_7.aut,Naive,True,False,True,False,False,False
res\demanding\demanding_children_7.aut,EmersonAndLei,True,False,True,False,False,False
res\demanding\demanding_children_7.aut,Smart,True,False,True,False,False,False
